order_id,customer_name,email,product,quantity,unit_price,order_date,city
1000,Charlie,charlie48@example.com,Tablet,5,502.6,2025-02-21,Rennes
1001,ALICE,alice86@example.com,Headphones,5,1303.13,2025-03-28,Paris
1002,Eva,eva37@example.com,Headphones,1,694.13,2025-03-26,Toulouse
1003,Isa,isa82@example.com,Keyboard,5,514.55,2025-02-05,Nice
1004,Alice,alice81@example.com,Mouse,2,131.17,2025-02-20,Lyon
1005,Charlie,,Keyboard,5,1385.96,2025-02-14,Rennes
1006,Charlie,charlie59@example.com,Tablet,1,738.6,2025-01-31,Bordeaux
1007,Diana,diana5@example.com,Monitor,1,483.59,2025-02-18,Marseille
1008,Eva,eva34@example.com,Laptop,5,947.14,2025-03-21,Lyon
1009,Alice,alice36@example.com,Smartwatch,4,299.56,2025-03-31,Bordeaux
1010,Manon,manon47@example.com,Phone,5,1113.15,2025-03-13,Lyon
1011,Frank,frank28@example.com,Smartwatch,1,682.26,2025-03-31,Toulouse
1012,Hugo,hugo81@example.com,Headphones,1,965.26,2025-03-02,Paris
1013,Isa,isa9@example.com,Mouse,2,,2025-03-16,Nantes
1014,Isa,isa31@example.com,Mouse,2,361.65,2025-03-20,Rennes
1015,Bob,bob80@example.com,Keyboard,3,1100.91,2025-02-24,
1016,Bob,bob81@example.com,Tablet,5,803.6,2025-03-11,Nantes
1017,Laura,laura99@example.com,Laptop,5,,2025-02-03,Marseille
1018,Nathan,nathan75@example.com,Phone,4,1086.09,2025-03-25,Toulouse
1019,Bob,bob20@example.com,Headphones,2,1470.8,2025-03-29,Lyon
1020,FRANK,frank19@example.com,Phone,5,230.87,2025-03-18,Strasbourg
1021,Frank,frank27@example.com,Keyboard,4,662.7,2025-03-01,Lille
1022,Olivia,olivia22@example.com,Headphones,3,354.74,2025-02-11,Marseille
1023,Julien,julien97@example.com,Headphones,1,764.38,2025-03-21,Marseille
1024,Charlie,charlie31@example.com,Laptop,3,293.06,2025-02-28,Marseille
1025,Eva,eva5@example.com,Keyboard,3,970.44,2025-03-29,Strasbourg
1026,Olivia,olivia84@example.com,Tablet,3,1440.95,2025-02-05,Strasbourg
1027,Olivia,olivia2@example.com,Mouse,2,1217.05,2025-02-04,Paris
1028,Laura,,Keyboard,3,994.93,2025-02-17,Bordeaux
1029,Isa,isa68@example.com,Keyboard,4,1156.21,2025-02-06,Lyon
1030,Diana,diana28@example.com,Headphones,3,1483.61,2025-03-30,Strasbourg
1031,Laura,laura84@example.com,Mouse,4,1439.87,2025-03-05,Paris
1032,Frank,frank69@example.com,Keyboard,3,1428.04,2025-02-08,Rennes
1033,Frank,frank57@example.com,Monitor,4,184.89,2025-03-29,Toulouse
1034,Frank,frank11@example.com,Headphones,4,729.93,2025-03-05,Strasbourg
1035,Olivia,olivia5@example.com,Monitor,1,1380.05,2025-03-05,Nantes
1036,Julien,julien27@example.com,Monitor,5,660.6,2025-03-21,Nantes
1037,Eva,eva99@example.com,Tablet,4,,2025-03-19,Marseille
1038,Alice,alice52@example.com,Phone,2,954.4,2025-03-07,Marseille
1039,Grace,grace90@example.com,Headphones,5,71.15,2025-02-03,Nice
1040,Nathan,nathan8@example.com,Smartwatch,2,782.83,2025-03-21,Paris
1041,Frank,frank76@example.com,Phone,4,1412.23,2025-03-25,Lyon
1042,Charlie,charlie3@example.com,Keyboard,5,748.08,2025-03-06,Rennes
1043,Diana,diana9@example.com,Keyboard,4,584.59,2025-03-18,Toulouse
1044,Manon,manon66@example.com,Headphones,4,1054.35,2025-02-25,Nantes
1045,Julien,julien27@example.com,Smartwatch,5,157.23,2025-02-20,Toulouse
1046,Charlie,charlie40@example.com,Mouse,3,169.6,2025-02-13,Nice
1047,Grace,grace86@example.com,Phone,1,144.99,2025-02-18,Paris
1048,Diana,diana49@example.com,Mouse,2,1061.05,2025-03-05,Bordeaux
1049,Nathan,nathan17@example.com,Headphones,4,1064.34,2025-02-12,Rennes
1050,Nathan,nathan75@example.com,Phone,3,1238.59,2025-02-03,Nantes
1051,Olivia,olivia8@example.com,Laptop,2,762.33,2025-02-16,Lille
1052,Julien,julien78@example.com,Headphones,5,778.51,2025-04-01,Lyon
1053,Isa,,Keyboard,1,533.12,2025-03-12,Lyon
1054,Grace,grace48@example.com,Smartwatch,5,328.74,2025-02-12,Paris
1055,Grace,grace53@example.com,Charger,1,778.88,2025-02-13,Rennes
1056,Hugo,hugo3@example.com,Monitor,3,741.28,2025-02-19,Nantes
1057,Isa,isa53@example.com,Monitor,3,923.45,2025-02-17,Lille
1058,Laura,laura86@example.com,Tablet,5,1318.45,2025-03-09,Toulouse
1059,Isa,isa62@example.com,Phone,4,1048.9,2025-03-24,Paris
1060,Diana,diana9@example.com,Laptop,3,1090.26,2025-03-19,Strasbourg
1061,Charlie,charlie17@example.com,Headphones,3,,2025-03-24,Rennes
1062,Julien,julien43@example.com,Headphones,4,257.67,2025-03-08,Lille
1063,Manon,manon27@example.com,Laptop,1,497.85,2025-02-18,Lille
1064,Isa,isa86@example.com,Monitor,2,47.84,2025-02-13,Nice
1065,Isa,isa80@example.com,Monitor,3,93.71,2025-02-04,Nantes
1066,Kevin,kevin84@example.com,Laptop,4,849.49,2025-02-10,
1067,Frank,frank35@example.com,Charger,2,992.38,2025-02-24,Nantes
1068,Laura,laura30@example.com,Laptop,4,,2025-02-18,Nantes
1069,Manon,manon92@example.com,Keyboard,5,773.21,2025-02-08,Bordeaux
1070,Bob,bob54@example.com,Headphones,2,855.86,2025-02-11,Nantes
1071,Manon,manon88@example.com,Mouse,1,982.8,2025-02-20,Bordeaux
1072,Grace,grace51@example.com,Smartwatch,1,486.77,2025-02-14,Toulouse
1073,Isa,isa98@example.com,Phone,1,873.04,2025-03-08,Toulouse
1074,Nathan,nathan36@example.com,Smartwatch,2,991.38,2025-04-01,Lille
1075,Frank,frank46@example.com,Charger,4,376.49,2025-02-09,Lille
1076,Charlie,charlie22@example.com,Tablet,1,1121.48,2025-02-10,Bordeaux
1077,Laura,laura46@example.com,Monitor,2,650.32,2025-03-30,Bordeaux
1078,Kevin,kevin21@example.com,Monitor,3,802.64,2025-02-05,Bordeaux
1079,Grace,grace62@example.com,Headphones,4,52.78,2025-03-15,Lille
1080,Charlie,charlie8@example.com,Headphones,5,,2025-02-28,Lille
1081,Isa,isa28@example.com,Keyboard,1,783.86,2025-03-19,Lyon
1082,Isa,isa45@example.com,Laptop,1,433.41,2025-03-14,Paris
1083,Olivia,olivia4@example.com,Headphones,5,977.34,2025-03-12,Nantes
1084,Kevin,kevin4@example.com,Charger,1,151.29,2025-02-28,Lyon
1085,Bob,bob78@example.com,Keyboard,1,1130.61,2025-02-05,
1086,Eva,eva75@example.com,Charger,1,759.26,2025-03-17,Marseille
1087,Laura,laura62@example.com,Phone,3,1440.72,2025-02-12,Strasbourg
1088,Eva,eva96@example.com,Headphones,2,1467.93,2025-01-31,Lille
1089,Diana,diana2@example.com,Headphones,3,975.52,2025-02-28,Rennes
1090,Frank,frank14@example.com,Headphones,4,230.7,2025-02-24,Rennes
1091,Laura,laura99@example.com,Laptop,3,,2025-02-19,Strasbourg
1092,Hugo,hugo9@example.com,Monitor,2,565.57,2025-03-07,Toulouse
1093,Grace,grace51@example.com,Monitor,5,315.26,2025-03-14,Toulouse
1094,Bob,bob47@example.com,Keyboard,1,106.53,2025-02-12,Marseille
1095,Charlie,charlie58@example.com,Smartwatch,4,530.76,2025-03-07,Strasbourg
1096,Isa,isa49@example.com,Headphones,2,870.5,2025-02-19,Lille
1097,Charlie,charlie46@example.com,Monitor,2,1252.18,2025-02-26,Strasbourg
1098,Bob,bob27@example.com,Smartwatch,3,1070.43,2025-03-03,Lyon
1099,Nathan,nathan78@example.com,Mouse,3,62.37,2025-03-03,Strasbourg
1100,Manon,manon78@example.com,Smartwatch,4,1259.79,2025-02-19,Bordeaux
1101,Manon,manon97@example.com,Tablet,2,1174.11,2025-02-20,Nice
1102,Olivia,olivia69@example.com,Monitor,2,1296.03,2025-02-21,Lille
1103,Alice,alice86@example.com,Mouse,5,832.3,2025-02-24,Nice
1104,Manon,manon4@example.com,Mouse,2,1217.6,2025-03-27,Paris
1105,Laura,laura37@example.com,Monitor,2,646.11,2025-03-28,Lyon
1106,Hugo,hugo15@example.com,Laptop,5,799.33,2025-03-16,Strasbourg
1107,Frank,frank80@example.com,Keyboard,5,486.97,2025-02-02,Bordeaux
1108,Kevin,kevin19@example.com,Smartwatch,5,1221.4,2025-03-23,Lille
1109,Alice,alice60@example.com,Laptop,1,178.93,2025-03-01,Nantes
1110,Kevin,kevin90@example.com,Headphones,3,148.79,2025-03-20,Lyon
1111,Manon,manon91@example.com,Keyboard,4,760.86,2025-02-15,Bordeaux
1112,Frank,frank12@example.com,Monitor,2,1437.4,2025-02-28,Rennes
1113,Grace,grace88@example.com,Keyboard,1,54.88,2025-02-20,Lille
1114,Charlie,charlie72@example.com,Phone,1,552.55,2025-02-19,Toulouse
1115,Isa,isa48@example.com,Mouse,4,1099.75,2025-03-20,Bordeaux
1116,Grace,grace14@example.com,Laptop,2,1238.38,2025-02-02,Toulouse
1117,Nathan,nathan96@example.com,Laptop,3,1006.99,2025-03-28,Lyon
1118,Julien,julien20@example.com,Keyboard,3,490.97,2025-02-20,Strasbourg
